Key,English
username,User Name
password,Password
submit,Login
offline-mode,Offline Mode
user,User:
project-name,Driver Training
offline-title,(Offline)
start,Start
continue,Continue
start-tutorial,Start Tutorial
settings,Settings
controls,Controls
back,Back
ready,Ready
reset-tutorial,Reset Tutorial
logout,Logout
admin,Admin
sfx,SFX Volume
vo,VO Volume
admin-title,Administrator Screen
login-title,Login
required-module-title,Your Modules:
extra-module-title,Extra
demo-scene-btn,Demo Scene
begin-training,Begin
begin-assessment,Begin Assessment
exit,Exit
restart,Restart
pause-menu-title,(PAUSED)
pause,Pause
inventory,Inventory
hazard,Hazard
call,Call
set-speed,Set Speed
set-speed-instruction,"Use the gas and brake buttons to set an appropriate speed for this situation as shown on the speedometer below, then press Confirm Speed."
confirm-speed, Confirm Speed
mph,mph
brake,Brake
gas,Gas
increase-speed,"Increase speed"
decrease-speed,"Decrease speed"
exit-vehicle,"Exit Vehicle"
lights,Lights
weather,Weather
day/night,Day/Night
map,MAP
hint,Hint
close,Close
good,Good
great,Great
good-job,"Good job."
welcome,Welcome to the tutorial
try-again,"Try again"
tm-high-cog-1,"High Center-of-Gravity 1"
tm-high-cog-2,"High Center-of-Gravity 2"
tm-railroad,"Railroad"
tm-cargo-strap,"Cargo Strap"
tm-cargo-fall,"Cargo Fall"
tm-farm-entrance,"Farm Entrance"
tm-soft-shoulder,"Soft Shoulder"
tm1,"TM-HighCog1"
tm2,"TM-Railroad"
tm3,"TM-HighCog2"
tm4-strap,"TM-CargoStrap"
tm4,"TM-CargoFall"
tm5,"TM-FarmEntrance"
tm6,"TM-SoftShoulder"
test-turn-1, Turn 1
test-turn-2, Turn 2
welcome-to-nutrien,"Welcome to Nutrien driver training. You will learn how to drive vehicles with caution and avoid accidents."
question-choose-route,Choose an appropriate route
fail-road-narrow,This road is too narrow to navigate safely. Press Continue to try a different entrance.
pass-road-wide,"Good job – that entrance was too narrow to navigate safely, so let’s look for an alternative"
fail-entrance-narrow,This entrance is too narrow to enter safely
pass-entrance-wide,This entrance is wide enough to enter
fail-arc-narrow,The turning arc was too narrow so the trailer is stuck
fail-arc-wide,The turning arc was too wide so the trailer is stuck
pass-arc-correct,The turning arc was correct for this maneuver
trening-complete,Congratulations on completing the training module
tm2-t1-hint-body,Begin by driving along the road at the current speed limit
tm2-t2-hint-body,In this module we will cover highway-rail grade crossings.
tm3-1-hint-body,"Welcome to Nutrien Driver Training. In this module you will learn how to safely handle making turns on s-curves while in a high center of gravity vehicle. This module is different from TM-HighCog 1 (Name will be changed), in this version you will be driving a tall vehicle with an extra high center of gravity, so you will have to be even more vigilant than for other high center of gravity."
tm3-2-hint-body,"Begin by driving along…."
tm3-3-hint-body,"The traffic light ahead has just changed; make sure to stop here."
tm3-4-hint-body,"Continue making the turn."
tm3-5-hint-body,"Good, you stopped in time for the light."
tm3-6-hint-body,"It looks like you didn't stop in time for the light. Make sure to reduce your speed when approaching intersections."
tm3-7-hint-body,"A common behavior of drivers is to attempt to â€œmake the lightâ€ by speeding up."
tm3-8-hint-body,"When approaching a set of lights you must be aware of you current speed and be prepared to stop if the light changes suddenly."
